Time(Iteration),DiscountedUCBBandit
0,0.0
100,0.9999999999999999
200,0.9999999999999999
300,0.9999999999999999
400,0.9999999999999999
500,0.9999999999999999
600,0.9999999999999999
700,0.9999999999999999
800,0.9999999999999999
900,0.9999999999999999
1000,0.9999999999999999
1100,0.9999999999999999
1200,0.9999999999999999
1300,0.9999999999999999
1400,0.9999999999999999
1500,0.9999999999999999
1600,0.9999999999999999
1700,0.9999999999999999
1800,0.9999999999999999
1900,0.9999999999999999
2000,0.9999999999999999
2100,0.9999999999999999
2200,0.9999999999999999
2300,0.9999999999999999
2400,0.9999999999999999
2500,0.9999999999999999
2600,0.9999999999999999
2700,0.9999999999999999
2800,0.9999999999999999
2900,0.9999999999999999
3000,0.9999999999999999
3100,0.9999999999999999
3200,0.9999999999999999
3300,0.9999999999999999
3400,0.9999999999999999
3500,0.9999999999999999
3600,0.9999999999999999
3700,0.9999999999999999
3800,0.9999999999999999
3900,0.9999999999999999
4000,0.9999999999999999
4100,0.9999999999999999
4200,0.9999999999999999
4300,0.9999999999999999
4400,0.9999999999999999
4500,0.9999999999999999
4600,0.9999999999999999
4700,0.9999999999999999
4800,0.9999999999999999
4900,0.9999999999999999
5000,1.9999999999999998
5100,3.0
5200,3.0
5300,3.0
5400,3.0
5500,3.0
5600,3.0
5700,3.0
5800,3.0
5900,3.0
6000,3.0
6100,3.0
6200,3.0
6300,3.0
6400,3.0
6500,3.0
6600,3.0
6700,3.0
6800,3.0
6900,3.0
7000,3.0
7100,3.0
7200,3.0
7300,3.0
7400,3.0
7500,3.0
7600,3.0
7700,3.0
7800,3.0
7900,3.0
8000,3.0
8100,3.0
8200,3.0
8300,3.0
8400,3.0
8500,3.0
8600,3.0
8700,3.0
8800,3.0
8900,3.0
9000,3.0
9100,3.0
9200,3.0
9300,3.0
9400,3.0
9500,3.0
9600,3.0
9700,3.0
9800,3.0
9900,3.0
